sample-id	mouse-id	Sex	Strain	Animal_source	age	Unit_age	light_cycle	diet	feeding_schedule	Protocol REF	ionizing_radiation	dose	Unit	Time_of_Sample_Collection_After_Treatment	Unit_time	Time_of_Collection_categorical	dose_categorical
16S_FCS_Mmus_C57-6J_1Gy_30d-post-IR_Rep9_30dM29	Mouse 29	male	C57BL/6J	Jackson Laboratory	6	month	12h light/dark	"soy-free rodent diet 2020X, Harlan Teklad"	ad libitum	sample collection	Irradiated with 16 O	1	gray	30	day	30_days	1_dose
16S_FCS_Mmus_C57-6J_1Gy_30d-post-IR_Rep10_30dM30	Mouse 30	male	C57BL/6J	Jackson Laboratory	6	month	12h light/dark	"soy-free rodent diet 2020X, Harlan Teklad"	ad libitum	sample collection	Irradiated with 16 O	1	gray	30	day	30_days	1_dose
16S_FCS_Mmus_C57-6J_0Gy_30d-post-shamIR_Rep1_30dM31	Mouse 31	male	C57BL/6J	Jackson Laboratory	6	month	12h light/dark	"soy-free rodent diet 2020X, Harlan Teklad"	ad libitum	sample collection	Sham-irradiated	0	gray	30	day	30_days	0_dose
16S_FCS_Mmus_C57-6J_0Gy_30d-post-shamIR_Rep2_30dM32	Mouse 32	male	C57BL/6J	Jackson Laboratory	6	month	12h light/dark	"soy-free rodent diet 2020X, Harlan Teklad"	ad libitum	sample collection	Sham-irradiated	0	gray	30	day	30_days	0_dose
16S_FCS_Mmus_C57-6J_0Gy_30d-post-shamIR_Rep3_30dM33	Mouse 33	male	C57BL/6J	Jackson Laboratory	6	month	12h light/dark	"soy-free rodent diet 2020X, Harlan Teklad"	ad libitum	sample collection	Sham-irradiated	0	gray	30	day	30_days	0_dose
16S_FCS_Mmus_C57-6J_0Gy_30d-post-shamIR_Rep4_30dM34	Mouse 34	male	C57BL/6J	Jackson Laboratory	6	month	12h light/dark	"soy-free rodent diet 2020X, Harlan Teklad"	ad libitum	sample collection	Sham-irradiated	0	gray	30	day	30_days	0_dose
16S_FCS_Mmus_C57-6J_0Gy_30d-post-shamIR_Rep5_30dM35	Mouse 35	male	C57BL/6J	Jackson Laboratory	6	month	12h light/dark	"soy-free rodent diet 2020X, Harlan Teklad"	ad libitum	sample collection	Sham-irradiated	0	gray	30	day	30_days	0_dose
16S_FCS_Mmus_C57-6J_0Gy_30d-post-shamIR_Rep6_30dM36	Mouse 36	male	C57BL/6J	Jackson Laboratory	6	month	12h light/dark	"soy-free rodent diet 2020X, Harlan Teklad"	ad libitum	sample collection	Sham-irradiated	0	gray	30	day	30_days	0_dose
16S_FCS_Mmus_C57-6J_0Gy_30d-post-shamIR_Rep7_30dM37	Mouse 37	male	C57BL/6J	Jackson Laboratory	6	month	12h light/dark	"soy-free rodent diet 2020X, Harlan Teklad"	ad libitum	sample collection	Sham-irradiated	0	gray	30	day	30_days	0_dose
16S_FCS_Mmus_C57-6J_0Gy_30d-post-shamIR_Rep8_30dM38	Mouse 38	male	C57BL/6J	Jackson Laboratory	6	month	12h light/dark	"soy-free rodent diet 2020X, Harlan Teklad"	ad libitum	sample collection	Sham-irradiated	0	gray	30	day	30_days	0_dose
16S_FCS_Mmus_C57-6J_0Gy_30d-post-shamIR_Rep9_30dM39	Mouse 39	male	C57BL/6J	Jackson Laboratory	6	month	12h light/dark	"soy-free rodent diet 2020X, Harlan Teklad"	ad libitum	sample collection	Sham-irradiated	0	gray	30	day	30_days	0_dose
16S_FCS_Mmus_C57-6J_0Gy_30d-post-shamIR_Rep10_30dM40	Mouse 40	male	C57BL/6J	Jackson Laboratory	6	month	12h light/dark	"soy-free rodent diet 2020X, Harlan Teklad"	ad libitum	sample collection	Sham-irradiated	0	gray	30	day	30_days	0_dose
